Player,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
WG Jacks (RCB),2024-2024,8,9.0,0,54,100,2,1/23,50.00,11.11,27.00,0,0,0
Arshad Khan (LSG/MI),2023-2024,10,24.2,0,146,304,6,3/39,50.66,12.49,24.33,0,0,0
SSB Magala (CSK),2023-2023,2,6.0,0,36,51,1,1/37,51.00,8.50,36.00,0,0,0
JA Richardson (DC/PBKS),2021-2024,4,15.0,0,90,157,3,2/41,52.33,10.46,30.00,0,0,0
A Flintoff (CSK),2009-2009,3,11.0,0,66,105,2,1/11,52.50,9.54,33.00,0,0,0
D Jansen (MI),2023-2023,1,4.0,0,24,53,1,1/53,53.00,13.25,24.00,0,0,0
DJ Hooda (KXIP/LSG/PBKS/RR/SRH),2015-2024,118,62.1,0,373,531,10,2/16,53.10,8.54,37.30,0,0,0
C de Grandhomme (KKR/RCB),2017-2019,25,36.0,0,216,319,6,3/4,53.16,8.86,36.00,0,0,0
SB Bangar (DCH/KKR),2008-2009,12,25.0,0,150,219,4,2/34,54.75,8.76,37.50,0,0,0
J Yadav (DC/GT/MI),2015-2023,20,65.0,0,390,445,8,1/8,55.62,6.84,48.75,0,0,0
Y Venugopal Rao (DC/DCH/SRH),2008-2014,65,36.0,0,216,337,6,2/23,56.16,9.36,36.00,0,0,0
LE Plunkett (DC),2018-2018,7,25.0,0,150,225,4,3/17,56.25,9.00,37.50,0,0,0
Abdul Samad (SRH),2020-2024,50,9.0,0,54,113,2,1/9,56.50,12.55,27.00,0,0,0
TM Head (RCB/SRH),2016-2024,25,9.4,0,58,113,2,2/30,56.50,11.68,29.00,0,0,0
KL Nagarkoti (DC/KKR),2020-2022,12,30.0,0,180,285,5,2/13,57.00,9.50,36.00,0,0,0
A Kamboj (MI),2024-2024,3,10.0,0,60,114,2,1/24,57.00,11.40,30.00,0,0,0
Y Prithvi Raj (KKR),2019-2019,2,5.0,0,30,57,1,1/29,57.00,11.40,30.00,0,0,0
RG More (CSK),2015-2015,2,5.5,0,35,59,1,1/31,59.00,10.11,35.00,0,0,0
SE Rutherford (DC/RCB),2019-2022,10,6.5,0,41,59,1,1/6,59.00,8.63,41.00,0,0,0
DJ Hussey (CSK/KKR/KXIP),2008-2014,64,52.5,0,317,474,8,2/2,59.25,8.97,39.62,0,0,0
CJ McKay (MI),2012-2012,2,7.0,0,42,60,1,1/36,60.00,8.57,42.00,0,0,0
T Shamsi (RCB/RR),2016-2021,5,20.0,0,120,181,3,1/21,60.33,9.05,40.00,0,0,0
LJ Wright (PWI),2012-2013,7,11.5,0,71,124,2,1/12,62.00,10.47,35.50,0,0,0
HR Shokeen (MI),2022-2023,13,34.0,0,204,314,5,2/34,62.80,9.23,40.80,0,0,0
R Shepherd (LSG/MI/SRH),2022-2024,10,21.0,0,126,257,4,2/42,64.25,12.23,31.50,0,0,0
AJ Finch (DC/GL/KKR/KXIP/MI/PWI/RCB/RR/SRH),2010-2022,92,7.1,0,43,67,1,1/11,67.00,9.34,43.00,0,0,0
A Mithun (RCB),2009-2013,16,48.0,0,288,472,7,2/37,67.42,9.83,41.14,0,0,0
Parvez Rasool (PWI/RCB/SRH),2013-2016,11,33.0,0,198,271,4,1/20,67.75,8.21,49.50,0,0,0
FA Allen (MI/PBKS),2021-2022,5,15.0,1,90,136,2,1/22,68.00,9.06,45.00,0,0,0
K Nitish Kumar Reddy (SRH),2023-2024,15,18.1,0,109,207,3,2/17,69.00,11.39,36.33,0,0,0
RJ Gleeson (CSK),2024-2024,2,7.5,0,47,71,1,1/30,71.00,9.06,47.00,0,0,0
M Siddharth (LSG),2024-2024,3,9.0,0,54,71,1,1/21,71.00,7.88,54.00,0,0,0
Ankit Soni (GL),2017-2017,7,18.1,0,109,144,2,1/16,72.00,7.92,54.50,0,0,0
LB Williams (DC),2024-2024,2,6.0,0,36,72,1,1/38,72.00,12.00,36.00,0,0,0
TM Dilshan (DC/RCB),2008-2013,52,45.1,0,271,366,5,1/3,73.20,8.10,54.20,0,0,0
P Suyal (MI),2013-2015,5,16.0,0,96,151,2,1/21,75.50,9.43,48.00,0,0,0
R Parag (RR),2019-2024,70,29.1,0,175,307,4,1/7,76.75,10.52,43.75,0,0,0
R Sathish (KKR/KXIP/MI),2010-2016,34,23.1,0,139,232,3,1/11,77.33,10.01,46.33,0,0,0
D Salunkhe (RR),2008-2008,6,8.0,0,48,78,1,1/21,78.00,9.75,48.00,0,0,0
SB Joshi (RCB),2008-2008,4,9.1,0,55,82,1,1/27,82.00,8.94,55.00,0,0,0
GS Sandhu (DC),2015-2015,3,8.0,0,48,82,1,1/33,82.00,10.25,48.00,0,0,0
MK Tiwary (DC/KKR/KXIP/RPS),2008-2018,98,7.0,0,42,83,1,1/11,83.00,11.85,42.00,0,0,0
AK Markram (PBKS/SRH),2021-2024,44,20.1,0,121,172,2,1/8,86.00,8.52,60.50,0,0,0
V Viyaskanth (SRH),2024-2024,3,10.0,0,60,86,1,1/37,86.00,8.60,60.00,0,0,0
